Date,IWM,QQQ,SPY
2020-09-08,139.95437622070312,261.49310302734375,308.488525390625
2020-09-09,142.0743865966797,269.17462158203125,314.5804138183594
2020-09-10,140.22525024414062,263.80816650390625,309.11810302734375
2020-09-11,139.29136657714844,261.97747802734375,309.2754821777344
2020-09-14,142.9615936279297,266.5399169921875,313.3490295410156
2020-09-15,143.23243713378906,270.3177185058594,314.9320983886719
2020-09-16,144.58657836914062,266.0070495605469,313.6823425292969
2020-09-17,143.53123474121094,261.8514709472656,310.92340087890625
2020-09-18,143.15769958496094,258.50958251953125,307.3437805175781
2020-09-21,138.14266967773438,259.1296081542969,303.9232177734375
2020-09-22,139.20730590820312,263.9438171386719,307.0185546875
2020-09-23,135.0599822998047,255.8844757080078,299.8984375
2020-09-24,135.0599822998047,257.075927734375,300.69781494140625
2020-09-25,137.25363159179688,263.0526123046875,305.5592346191406
2020-09-28,140.6378631591797,268.5159606933594,310.6343078613281
2020-09-29,140.0003662109375,267.3052062988281,308.94268798828125
2020-09-30,140.42222595214844,269.1358642578125,311.28497314453125
2020-10-01,142.66278076171875,273.40771484375,313.283447265625
2020-10-02,143.29092407226562,265.7164306640625,310.3089904785156
2020-10-05,147.2469940185547,271.38323974609375,315.811767578125
2020-10-06,146.82510375976562,266.5399169921875,311.3221435546875
2020-10-07,150.03118896484375,271.1507873535156,316.74127197265625
2020-10-08,151.73739624023438,272.5941162109375,319.54833984375
2020-10-09,152.52487182617188,276.7593688964844,322.4019470214844
2020-10-12,153.5467071533203,285.3031005859375,327.588623046875
2020-10-13,152.52487182617188,285.2933349609375,325.4508056640625
2020-10-14,151.0155487060547,282.9104309082031,323.4058532714844
2020-10-15,152.57176208496094,281.0118103027344,323.00616455078125
2020-10-16,152.19677734375,279.4716796875,322.8109130859375
2020-10-19,150.3780975341797,274.9091796875,317.903076171875
2020-10-20,150.70619201660156,275.5000915527344,319.1766052246094
2020-10-21,149.4125518798828,275.2868957519531,318.5723571777344
2020-10-22,151.99057006835938,275.27734375,320.31988525390625
2020-10-23,152.87173461914062,275.8197326660156,321.4074401855469
2020-10-26,149.57186889648438,271.6835021972656,315.46783447265625
2020-10-27,148.28750610351562,273.80487060546875,314.3802490234375
2020-10-28,143.7221221923828,263.1301574707031,303.6350402832031
2020-10-29,145.4376678466797,267.7313232421875,306.7210998535156
2020-10-30,143.51588439941406,260.9410095214844,303.5235595703125
2020-11-02,146.07516479492188,261.522216796875,306.9255065917969
2020-11-03,150.21871948242188,266.0457763671875,312.3446044921875
2020-11-04,150.38748168945312,277.9217224121094,319.3253173828125
2020-11-05,154.59666442871094,285.16748046875,325.552978515625
2020-11-06,153.3873291015625,285.38055419921875,325.47857666015625
2020-11-09,158.9464874267578,279.5491027832031,329.5684814453125
2020-11-10,161.8994598388672,274.5410461425781,329.0851745605469
2020-11-11,161.8338623046875,280.6825866699219,331.5298156738281
2020-11-12,159.3495635986328,279.3651428222656,328.3136901855469
2020-11-13,162.64942932128906,281.8157653808594,332.8590393066406
2020-11-16,166.5211639404297,284.0146789550781,337.013916015625
2020-11-17,167.2992401123047,283.1138000488281,335.2013854980469
2020-11-18,164.9556427001953,281.021484375,331.1673278808594
2020-11-19,166.2211456298828,283.2203674316406,332.5615539550781
2020-11-20,166.3992919921875,281.2830810546875,330.28424072265625
2020-11-23,169.51165771484375,281.2927551269531,332.2640686035156
2020-11-24,172.69898986816406,285.2449035644531,337.6181335449219
2020-11-25,172.1083984375,286.99822998046875,337.0975646972656
2020-11-27,172.8396453857422,289.6427001953125,338.0364074707031
2020-11-30,169.69912719726562,290.2336730957031,336.5398864746094
2020-12-01,171.27407836914062,293.9532775878906,340.220703125
2020-12-02,171.45220947265625,294.3311767578125,340.9365234375
2020-12-03,172.4177703857422,294.74755859375,340.84356689453125
2020-12-04,176.4301300048828,295.94873046875,343.78076171875
2020-12-07,176.59889221191406,297.6246032714844,343.07440185546875
2020-12-08,178.86753845214844,298.6319885253906,344.0782470703125
2020-12-09,177.56443786621094,291.87066650390625,340.9923095703125
2020-12-10,179.27999877929688,293.0428161621094,340.8807067871094
2020-12-11,178.39878845214844,292.3937683105469,340.4811096191406
2020-12-14,178.6075439453125,294.5151672363281,338.9566345214844
2020-12-15,183.0743865966797,297.6633605957031,343.5390319824219
2020-12-16,182.41610717773438,299.3003234863281,344.0782470703125
2020-12-17,184.5884246826172,301.2571105957031,346.0022888183594
2020-12-18,183.69505310058594,300.3465270996094,344.62078857421875
2020-12-21,183.60104370117188,299.7846984863281,343.3885498046875
2020-12-22,185.6886749267578,300.5997619628906,342.80975341796875
2020-12-23,187.26852416992188,299.0860290527344,343.117919921875
2020-12-24,187.14630126953125,300.40570068359375,344.4527893066406
2020-12-28,186.4503936767578,303.4334716796875,347.41192626953125
2020-12-29,182.83932495117188,303.7052001953125,346.7491149902344
2020-12-30,184.70127868652344,303.71490478515625,347.243896484375
2020-12-31,184.37216186523438,304.46209716796875,349.00811767578125
2021-01-04,181.9647216796875,300.1630859375,344.25677490234375
2021-01-05,184.7764892578125,302.6377258300781,346.62774658203125
2021-01-06,192.33718872070312,298.4454040527344,348.7000427246094
2021-01-07,195.7602081298828,305.6654357910156,353.8809509277344
2021-01-08,195.33706665039062,309.595703125,355.8971252441406
2021-01-11,195.16778564453125,305.1220397949219,353.4981994628906
2021-01-12,198.66598510742188,304.63677978515625,353.5727844238281
2021-01-13,197.24600219726562,306.69415283203125,354.52496337890625
2021-01-14,201.18621826171875,305.0540771484375,353.2834777832031
2021-01-15,198.18641662597656,302.6377258300781,350.70709228515625
2021-01-19,200.7254638671875,307.0531921386719,353.4608459472656
2021-01-20,201.60943603515625,314.1954650878906,358.35223388671875
2021-01-21,199.86029052734375,316.7088623046875,358.67889404296875
2021-01-22,202.1829833984375,315.7967834472656,357.4093933105469
2021-01-25,201.98556518554688,318.40716552734375,358.8189697265625
2021-01-26,200.58441162109375,318.8729248046875,358.2589416503906
2021-01-27,196.90750122070312,309.98388671875,349.5029296875
2021-01-28,196.2774200439453,311.8179931640625,352.5086669921875
2021-01-29,193.30580139160156,305.2578430175781,345.45166015625
2021-02-01,198.0547637939453,312.8855285644531,351.2017822265625
2021-02-02,200.8759002685547,317.9898376464844,356.1678771972656
2021-02-03,201.47776794433594,316.7283630371094,356.4479675292969
2021-02-04,205.58724975585938,320.47418212890625,360.499267578125
2021-02-05,208.43663024902344,321.56097412109375,361.9181213378906
2021-02-08,213.7592315673828,323.71539306640625,364.5318603515625
2021-02-09,214.76541137695312,323.6474609375,364.2890625
2021-02-10,213.3548126220703,322.90997314453125,364.13037109375
2021-02-11,213.11032104492188,324.685791015625,364.71856689453125
2021-02-12,213.712158203125,326.50048828125,366.5201721191406
2021-02-16,212.3673858642578,325.61749267578125,366.20269775390625
2021-02-17,210.7029266357422,324.0550537109375,366.2867431640625
2021-02-18,207.43980407714844,322.6382141113281,364.7279357910156
2021-02-19,211.76559448242188,321.2311096191406,364.0837097167969
2021-02-22,210.39259338378906,312.9048767089844,361.2833557128906
2021-02-23,208.54002380371094,311.9731750488281,361.72210693359375
2021-02-24,213.46768188476562,314.54486083984375,365.7080078125
2021-02-25,205.57781982421875,303.5789794921875,356.8959655761719
2021-02-26,205.29566955566406,304.85028076171875,355.0570068359375
2021-03-01,212.5931396484375,314.02081298828125,363.6637268066406
2021-03-02,208.50245666503906,308.9842834472656,360.8259582519531
2021-03-03,206.24554443359375,300.0176086425781,356.0465393066406
2021-03-04,200.48098754882812,295.107177734375,351.640625
2021-03-05,204.7314910888672,299.5517272949219,358.1094665527344
2021-03-08,205.7000732421875,291.0701904296875,356.3266296386719
2021-03-09,210.0258331298828,302.5503845214844,361.41400146484375
2021-03-10,213.674560546875,301.686767578125,363.6637268066406
2021-03-11,218.37648010253906,308.6348876953125,367.3509216308594
2021-03-12,219.6648406982422,306.1311950683594,367.84564208984375
2021-03-15,220.44534301757812,309.4016418457031,370.03936767578125
2021-03-16,216.75904846191406,311.0998229980469,369.5726013183594
2021-03-17,218.4611358642578,312.3807067871094,370.832763671875
2021-03-18,211.81260681152344,302.8124694824219,365.4373474121094
2021-03-19,213.4113006591797,303.8798522949219,364.7611083984375
2021-03-22,211.8031768798828,309.5785827636719,367.6737060546875
2021-03-23,204.12022399902344,308.2279968261719,364.7798767089844
2021-03-24,199.39944458007812,303.0296630859375,362.9255065917969
2021-03-25,204.1272430419922,302.5049133300781,364.9671325683594
2021-03-26,207.84873962402344,307.0425720214844,370.8486022949219
2021-03-29,201.9979705810547,306.95513916015625,370.66131591796875
