date,return,market_regime,n_positions,cumulative
2021-12-23,0.0019404290376959573,BEAR,49,1.3954634179229997
2021-12-27,0.008629348258357712,BEAR,49,1.4075053577380554
2021-12-28,0.001162991934898868,BEAR,49,1.4091422751174316
2021-12-29,0.0036957954288047933,BEAR,49,1.4143501766963462
2021-12-30,-0.0008573281335015419,BEAR,48,1.4131376144992416
2021-12-31,0.00023648372560257141,BEAR,48,1.4134717985471075
2022-01-03,-0.0028126742918483847,BEAR,48,1.4094961627570812
2022-01-04,0.004611798032582966,BEAR,48,1.4159964743874176
2022-01-05,-0.008182417971355669,BEAR,48,1.4044101993880138
2022-01-06,0.0028454231499889034,BEAR,50,1.4084063406814329
2022-01-07,0.00023338867628027284,BEAR,50,1.4087350467729491
2022-01-10,-0.002176367252422587,BEAR,50,1.4056691219498125
2022-01-11,0.0027373732678707893,BEAR,50,1.4095169630277093
2022-01-12,0.00139529314630936,BEAR,50,1.4114836523858285
2022-01-13,0.0006771080429416926,BEAR,51,1.4124393793193397
2022-01-14,0.0039533097745547904,BEAR,51,1.4180231897235689
2022-01-18,-0.008000091464180379,BEAR,51,1.4066788745074517
2022-01-19,-0.00017314900645329714,BEAR,51,1.4064353094579318
2022-01-20,-0.008399712997915476,BEAR,51,1.394621656508351
2022-01-21,-0.008375436250658442,BEAR,59,1.3829410917304776
2022-01-24,-0.0012181821414061782,BEAR,59,1.3812564175899147
2022-01-25,0.0006523853727538988,BEAR,59,1.3821575290727726
2022-01-26,-0.00297687321323925,BEAR,59,1.3780430213479988
2022-01-27,-0.00029777567579004997,BEAR,59,1.3776326736560491
2022-01-28,0.012072079664828643,BEAR,50,1.3942635650412958
2022-01-31,0.0004798504962350773,BEAR,50,1.3949326031048634
2022-02-01,0.004339172164839629,BEAR,50,1.4009854558280832
2022-02-02,0.006083660760218241,BEAR,50,1.4095085760713408
2022-02-03,-0.0030415396289548806,BEAR,50,1.405221499879868
2022-02-04,0.002067640418525626,BEAR,49,1.4081269926500009
2022-02-07,0.0007531033725681556,BEAR,49,1.4091874578371697
2022-02-08,0.0019962426319046784,BEAR,49,1.4120005379168497
2022-02-09,0.00509725487030757,BEAR,49,1.4191978645356234
2022-02-10,-0.004583750594292599,BEAR,49,1.4126926154806394
2022-02-11,-0.0008355621411998809,BEAR,49,1.4115122230139912
2022-02-14,-0.005654368411543928,BEAR,49,1.4035310128876728
2022-02-15,0.004919210645441907,BEAR,49,1.4104352775874776
2022-02-16,0.002178262875115561,BEAR,49,1.4135075763903995
2022-02-17,-0.003247997675676073,BEAR,49,1.408916507067733
2022-02-18,-0.0031512273513004873,BEAR,57,1.4044766908349624
2022-02-22,-0.005604695862266446,BEAR,57,1.39660502613719
2022-02-23,-0.008379873710401055,BEAR,57,1.384901652394849
2022-02-24,-0.0032875921166176706,BEAR,57,1.380348660640145
2022-02-25,0.01953750068774274,BEAR,57,1.4073172235467266
2022-02-28,-0.0011966176641380665,BEAR,50,1.405633202897985
2022-03-01,-0.009839216057370306,BEAR,50,1.3918028741172583
2022-03-02,0.006593728746572705,BEAR,50,1.4009800447378877
2022-03-03,0.0021094695996751412,BEAR,50,1.4039353695520138
2022-03-04,0.003134676577429785,BEAR,50,1.4083362528711738
2022-03-07,-0.0071102230739235025,BEAR,55,1.3983226679501661
2022-03-08,-0.009450293669465275,BEAR,55,1.385108108093367
2022-03-09,0.006044850201480125,BEAR,55,1.3934808791196467
2022-03-10,0.003384150261390429,BEAR,55,1.398196627800962
2022-03-11,-0.004121198258845074,BEAR,55,1.3924343822929457
2022-03-14,-0.0008507180656614427,BEAR,50,1.391249813208681
