date,market_regime,strategy,n_stocks,top_stocks
2020-08-31,BULL,QUALITY_DEFENSIVE,0,
2020-08-31,BULL,VALUE_ROTATION,0,
2020-08-31,BULL,BREAKOUT_CAPTURE,0,
2020-08-31,BULL,MEAN_REVERSION,0,
2020-09-01,BULL,MOMENTUM_SURGE,0,
2020-09-01,BULL,QUALITY_DEFENSIVE,0,
2020-09-01,BULL,VALUE_ROTATION,0,
2020-09-01,BULL,BREAKOUT_CAPTURE,0,
2020-09-01,BULL,MEAN_REVERSION,0,
2020-09-02,BULL,MOMENTUM_SURGE,0,
2020-09-02,BULL,QUALITY_DEFENSIVE,0,
2020-09-02,BULL,VALUE_ROTATION,0,
2020-09-02,BULL,BREAKOUT_CAPTURE,0,
2020-09-02,BULL,MEAN_REVERSION,0,
2020-09-03,BEAR,MOMENTUM_SURGE,0,
2020-09-03,BEAR,QUALITY_DEFENSIVE,0,
2020-09-03,BEAR,VALUE_ROTATION,0,
2020-09-03,BEAR,BREAKOUT_CAPTURE,0,
2020-09-03,BEAR,MEAN_REVERSION,0,
2020-09-04,BEAR,MOMENTUM_SURGE,0,
2020-09-04,BEAR,QUALITY_DEFENSIVE,0,
2020-09-04,BEAR,VALUE_ROTATION,0,
2020-09-04,BEAR,BREAKOUT_CAPTURE,0,
2020-09-04,BEAR,MEAN_REVERSION,0,
2020-09-08,BEAR,MOMENTUM_SURGE,0,
2020-09-08,BEAR,QUALITY_DEFENSIVE,0,
2020-09-08,BEAR,VALUE_ROTATION,0,
2020-09-08,BEAR,BREAKOUT_CAPTURE,0,
2020-09-08,BEAR,MEAN_REVERSION,0,
2020-09-09,BEAR,MOMENTUM_SURGE,0,
2020-09-09,BEAR,QUALITY_DEFENSIVE,0,
2020-09-09,BEAR,VALUE_ROTATION,0,
2020-09-09,BEAR,BREAKOUT_CAPTURE,0,
2020-09-09,BEAR,MEAN_REVERSION,0,
2020-09-10,BEAR,MOMENTUM_SURGE,0,
2020-09-10,BEAR,QUALITY_DEFENSIVE,0,
2020-09-10,BEAR,VALUE_ROTATION,0,
2020-09-10,BEAR,BREAKOUT_CAPTURE,0,
2020-09-10,BEAR,MEAN_REVERSION,0,
2020-09-11,BEAR,MOMENTUM_SURGE,0,
2020-09-11,BEAR,QUALITY_DEFENSIVE,0,
2020-09-11,BEAR,VALUE_ROTATION,0,
2020-09-11,BEAR,BREAKOUT_CAPTURE,0,
2020-09-11,BEAR,MEAN_REVERSION,0,
2020-09-14,BEAR,MOMENTUM_SURGE,0,
2020-09-14,BEAR,QUALITY_DEFENSIVE,0,
2020-09-14,BEAR,VALUE_ROTATION,0,
2020-09-14,BEAR,BREAKOUT_CAPTURE,0,
2020-09-14,BEAR,MEAN_REVERSION,0,
2020-09-15,BEAR,MOMENTUM_SURGE,0,
2020-09-15,BEAR,QUALITY_DEFENSIVE,0,
2020-09-15,BEAR,VALUE_ROTATION,0,
2020-09-15,BEAR,BREAKOUT_CAPTURE,0,
2020-09-15,BEAR,MEAN_REVERSION,0,
2020-09-16,BEAR,MOMENTUM_SURGE,0,
2020-09-16,BEAR,QUALITY_DEFENSIVE,0,
