,meta_return,regime,strategy
2021-05-18,-0.01198536491018145,RANGE,MR+QD
2021-05-19,-0.00410360456720145,RANGE,MR+QD
2021-05-20,0.0096887652448917,RANGE,MR+QD
2021-05-21,0.0051210210059943,BULL,MOMENTUM
2021-05-24,0.00985861549482865,RANGE,MR+QD
2021-05-25,0.0008509484335427,BULL,MOMENTUM
2021-05-26,0.0026886188698293,RANGE,MR+QD
2021-05-27,0.0149047915754387,BULL,MOMENTUM
2021-05-28,4.682442609899896e-06,RANGE,MR+QD
2021-06-01,0.0057871738134537,BULL,MOMENTUM
2021-06-02,0.002254721026958,BULL,MOMENTUM
2021-06-03,-0.0080117440378372,BULL,MOMENTUM
2021-06-04,0.0163047400695134,BULL,MOMENTUM
2021-06-07,-0.0038886945233649,BULL,MOMENTUM
2021-06-08,-0.00019561116485370008,RANGE,MR+QD
2021-06-09,-0.0069957017570492,BULL,MOMENTUM
2021-06-10,-0.0033448674476067,BULL,MOMENTUM
2021-06-11,0.0044876697890462,BULL,MOMENTUM
2021-06-14,0.0045249489603517,BULL,MOMENTUM
2021-06-15,-0.0062641502346113,BULL,MOMENTUM
2021-06-16,-0.0034462225742055,BULL,MOMENTUM
2021-06-17,-0.0007141534819691,BULL,MOMENTUM
2021-06-18,-0.01264652540368,BULL,MOMENTUM
2021-06-21,0.0139111175409175,RANGE,MR+QD
2021-06-22,0.0039582487721346,BULL,MOMENTUM
2021-06-23,0.0082017798964698,BULL,MOMENTUM
2021-06-24,0.0144991891493648,BULL,MOMENTUM
2021-06-25,-0.0046504147213536,BULL,MOMENTUM
2021-06-28,0.0077526468766126,BULL,MOMENTUM
2021-06-29,0.0047331692108726,BULL,MOMENTUM
2021-06-30,0.006641862197878,BULL,MOMENTUM
2021-07-01,0.0032831112512775,BULL,MOMENTUM
2021-07-02,0.0039564171278255,BULL,MOMENTUM
2021-07-06,-0.0104007605016455,BULL,MOMENTUM
2021-07-07,-0.0005522855454371,BULL,MOMENTUM
2021-07-08,-0.0128353393760547,BULL,MOMENTUM
2021-07-09,0.020553963863261,BULL,MOMENTUM
2021-07-12,0.0129117255581811,BULL,MOMENTUM
2021-07-13,-0.0107018768644081,BULL,MOMENTUM
2021-07-14,-0.0053462327038531,BULL,MOMENTUM
2021-07-15,-0.0034470239898919,BULL,MOMENTUM
2021-07-16,-0.0164688570948705,BULL,MOMENTUM
2021-07-19,-0.0207007554294889,BULL,MOMENTUM
2021-07-20,0.020956895960633402,RANGE,MR+QD
2021-07-21,0.0175732841682441,BULL,MOMENTUM
2021-07-22,-0.0057407867361609,BULL,MOMENTUM
2021-07-23,0.003059611505311,BULL,MOMENTUM
2021-07-26,0.0049151750976594,BULL,MOMENTUM
2021-07-27,-0.0023165446484923,BULL,MOMENTUM
2021-07-28,0.0035885643521238,BULL,MOMENTUM
2021-07-29,0.0115381611945176,BULL,MOMENTUM
2021-07-30,-0.007905615774349,BULL,MOMENTUM
2021-08-02,0.0014871272396191,BULL,MOMENTUM
2021-08-03,0.0091094410665757,BULL,MOMENTUM
2021-08-04,-0.0041996557698446,BULL,MOMENTUM
2021-08-05,0.0102213202124011,BULL,MOMENTUM
2021-08-06,0.0060994283024039,BULL,MOMENTUM
2021-08-09,0.0004148992253963,BULL,MOMENTUM
2021-08-10,0.0068892564872901,BULL,MOMENTUM
2021-08-11,0.0046794954325363,BULL,MOMENTUM
2021-08-12,0.0023732823831783,BULL,MOMENTUM
2021-08-13,-0.0051326216274228,BULL,MOMENTUM
2021-08-16,-0.0094870581760378,BULL,MOMENTUM
2021-08-17,-0.0146398570640366,BULL,MOMENTUM
2021-08-18,-0.0086004245817724,BULL,MOMENTUM
2021-08-19,-0.0116365749031509,BULL,MOMENTUM
2021-08-20,0.0109828260856493,BULL,MOMENTUM
2021-08-23,0.0225758739941956,BULL,MOMENTUM
2021-08-24,0.0081875450744353,BULL,MOMENTUM
2021-08-25,0.0116588915054837,BULL,MOMENTUM
2021-08-26,-0.0085444811962812,BULL,MOMENTUM
2021-08-27,0.0162596381253976,BULL,MOMENTUM
2021-08-30,-0.0046724282844102,BULL,MOMENTUM
2021-08-31,-0.0025757918670076,BULL,MOMENTUM
2021-09-01,-0.0052849554337861,BULL,MOMENTUM
2021-09-02,0.0047680733995331,BULL,MOMENTUM
2021-09-03,-0.003475116483854,BULL,MOMENTUM
2021-09-07,-0.0057834435626252,BULL,MOMENTUM
2021-09-08,-0.0075470627711432,BULL,MOMENTUM
2021-09-09,-0.0042820623008037,BULL,MOMENTUM
2021-09-10,-0.0040482492446216,BULL,MOMENTUM
2021-09-13,0.0030412667720618,RANGE,MR+QD
2021-09-14,-0.0070697016619573,RANGE,MR+QD
2021-09-15,0.00690871025749635,RANGE,MR+QD
2021-09-16,-0.0058150857167008,BULL,MOMENTUM
2021-09-17,-0.009363780992383,BULL,MOMENTUM
2021-09-20,-0.0220239644580155,BULL,MOMENTUM
2021-09-21,0.0,BEAR,CASH
2021-09-22,0.0,BEAR,CASH
2021-09-23,0.0,BEAR,CASH
2021-09-24,0.00170233548633125,RANGE,MR+QD
2021-09-27,-0.0018244704362102501,RANGE,MR+QD
2021-09-28,-0.01857133981762865,RANGE,MR+QD
2021-09-29,0.0,BEAR,CASH
2021-09-30,0.0,BEAR,CASH
2021-10-01,0.0,BEAR,CASH
2021-10-04,0.0,BEAR,CASH
2021-10-05,0.0,BEAR,CASH
2021-10-06,0.0,BEAR,CASH
2021-10-07,0.0,BEAR,CASH
2021-10-08,0.0007015921826835499,RANGE,MR+QD
2021-10-11,-0.00662971334370905,RANGE,MR+QD
2021-10-12,0.0,BEAR,CASH
2021-10-13,0.0,BEAR,CASH
2021-10-14,0.0,BEAR,CASH
