Date,regime
2017-10-30,BULL
2017-10-31,BULL
2017-11-01,BULL
2017-11-02,BULL
2017-11-03,BULL
2017-11-06,BULL
2017-11-07,BULL
2017-11-08,BULL
2017-11-09,BULL
2017-11-10,BULL
2017-11-13,BULL
2017-11-14,BULL
2017-11-15,BULL
2017-11-16,BULL
2017-11-17,BULL
2017-11-20,BULL
2017-11-21,BULL
2017-11-22,BULL
2017-11-24,BULL
2017-11-27,BULL
2017-11-28,BULL
2017-11-29,BULL
2017-11-30,BULL
2017-12-01,BULL
2017-12-04,BULL
2017-12-05,BULL
2017-12-06,BULL
2017-12-07,BULL
2017-12-08,BULL
2017-12-11,BULL
2017-12-12,BULL
2017-12-13,BULL
2017-12-14,BULL
2017-12-15,BULL
2017-12-18,BULL
2017-12-19,BULL
2017-12-20,BULL
2017-12-21,BULL
2017-12-22,BULL
2017-12-26,BULL
2017-12-27,BULL
2017-12-28,BULL
2017-12-29,BULL
2018-01-02,BULL
2018-01-03,BULL
2018-01-04,BULL
2018-01-05,BULL
2018-01-08,BULL
2018-01-09,BULL
2018-01-10,BULL
2018-01-11,BULL
2018-01-12,BULL
2018-01-16,BULL
2018-01-17,BULL
2018-01-18,BULL
2018-01-19,BULL
2018-01-22,BULL
2018-01-23,BULL
2018-01-24,BULL
2018-01-25,BULL
2018-01-26,BULL
2018-01-29,BULL
2018-01-30,BULL
2018-01-31,BULL
2018-02-01,BULL
2018-02-02,BULL
2018-02-05,BULL
2018-02-06,BEAR
2018-02-07,BEAR
2018-02-08,BEAR
2018-02-09,BEAR
2018-02-12,BEAR
2018-02-13,BEAR
2018-02-14,BEAR
2018-02-15,BEAR
2018-02-16,RANGE
2018-02-20,RANGE
2018-02-21,RANGE
2018-02-22,RANGE
2018-02-23,RANGE
2018-02-26,RANGE
2018-02-27,RANGE
2018-02-28,RANGE
2018-03-01,RANGE
2018-03-02,RANGE
2018-03-05,RANGE
2018-03-06,RANGE
2018-03-07,RANGE
2018-03-08,BULL
2018-03-09,BULL
2018-03-12,BULL
2018-03-13,BULL
2018-03-14,BULL
2018-03-15,BULL
2018-03-16,BULL
2018-03-19,BULL
2018-03-20,RANGE
2018-03-21,RANGE
2018-03-22,RANGE
2018-03-23,BEAR
2018-03-26,BEAR
2018-03-27,BEAR
2018-03-28,RANGE
2018-03-29,RANGE
2018-04-02,RANGE
2018-04-03,RANGE
2018-04-04,RANGE
2018-04-05,RANGE
2018-04-06,RANGE
2018-04-09,RANGE
2018-04-10,RANGE
2018-04-11,RANGE
2018-04-12,RANGE
2018-04-13,RANGE
2018-04-16,RANGE
2018-04-17,RANGE
2018-04-18,RANGE
2018-04-19,RANGE
2018-04-20,RANGE
2018-04-23,BULL
2018-04-24,BULL
2018-04-25,RANGE
2018-04-26,RANGE
2018-04-27,BULL
2018-04-30,BULL
2018-05-01,BULL
2018-05-02,BULL
2018-05-03,RANGE
2018-05-04,RANGE
2018-05-07,BULL
2018-05-08,BULL
2018-05-09,BULL
2018-05-10,BULL
2018-05-11,BULL
2018-05-14,BULL
2018-05-15,BULL
2018-05-16,BULL
2018-05-17,BULL
2018-05-18,BULL
2018-05-21,BULL
2018-05-22,BULL
2018-05-23,BULL
2018-05-24,BULL
2018-05-25,BULL
2018-05-29,BULL
2018-05-30,BULL
2018-05-31,BULL
2018-06-01,BULL
2018-06-04,BULL
2018-06-05,BULL
2018-06-06,BULL
2018-06-07,BULL
2018-06-08,BULL
2018-06-11,BULL
2018-06-12,BULL
2018-06-13,BULL
2018-06-14,BULL
2018-06-15,BULL
2018-06-18,BULL
2018-06-19,BULL
2018-06-20,BULL
2018-06-21,BULL
2018-06-22,BULL
2018-06-25,BULL
2018-06-26,BULL
2018-06-27,BULL
2018-06-28,BULL
2018-06-29,BULL
2018-07-02,RANGE
2018-07-03,RANGE
2018-07-05,RANGE
2018-07-06,RANGE
2018-07-09,RANGE
2018-07-10,BULL
2018-07-11,BULL
2018-07-12,BULL
2018-07-13,BULL
2018-07-16,BULL
2018-07-17,BULL
2018-07-18,BULL
2018-07-19,BULL
2018-07-20,BULL
2018-07-23,BULL
2018-07-24,BULL
2018-07-25,BULL
2018-07-26,BULL
2018-07-27,BULL
2018-07-30,BULL
2018-07-31,BULL
2018-08-01,BULL
2018-08-02,BULL
2018-08-03,BULL
2018-08-06,BULL
2018-08-07,BULL
2018-08-08,BULL
2018-08-09,BULL
2018-08-10,BULL
2018-08-13,BULL
2018-08-14,BULL
2018-08-15,BULL
2018-08-16,BULL
2018-08-17,BULL
2018-08-20,BULL
2018-08-21,BULL
2018-08-22,BULL
2018-08-23,BULL
2018-08-24,BULL
2018-08-27,BULL
2018-08-28,BULL
2018-08-29,BULL
2018-08-30,BULL
2018-08-31,BULL
2018-09-04,BULL
2018-09-05,BULL
2018-09-06,BULL
2018-09-07,BULL
2018-09-10,BULL
2018-09-11,BULL
2018-09-12,BULL
2018-09-13,BULL
2018-09-14,BULL
2018-09-17,BULL
2018-09-18,BULL
2018-09-19,BULL
2018-09-20,BULL
2018-09-21,BULL
2018-09-24,BULL
2018-09-25,BULL
2018-09-26,BULL
2018-09-27,BULL
2018-09-28,BULL
2018-10-01,BULL
2018-10-02,BULL
2018-10-03,BULL
2018-10-04,BULL
2018-10-05,BULL
2018-10-08,BULL
2018-10-09,BULL
2018-10-10,BULL
2018-10-11,BEAR
2018-10-12,BEAR
2018-10-15,BEAR
2018-10-16,RANGE
2018-10-17,RANGE
2018-10-18,RANGE
2018-10-19,RANGE
2018-10-22,RANGE
2018-10-23,RANGE
2018-10-24,RANGE
2018-10-25,RANGE
2018-10-26,RANGE
